,V218M,max,diff,True
296,9.756156457432012e-07,1.2811640907445192e-06,3.0487435425679876e-07,0
297,4.2505216620653615e-06,1.2811640907445192e-06,6.66948337934638e-07,0
298,1.4691062658828632e-05,1.2811640907445192e-06,1.1284373411713682e-06,0
299,3.7257167638248544e-05,1.2811640907445192e-06,7.112323617514563e-07,0
300,6.807044518870744e-05,1.2811640907445192e-06,-1.7614451887074442e-06,0
301,9.057735022097647e-05,1.2811640907445192e-06,-4.508150220976464e-06,0
302,8.899061898690023e-05,1.2811640907445192e-06,-4.076818986900236e-06,0
303,6.442281340936597e-05,1.2811640907445192e-06,-6.398134093659776e-07,0
304,3.422892128677032e-05,1.2811640907445192e-06,2.730478713229677e-06,0
305,1.4335763116142728e-05,1.2811640907445192e-06,3.859936883857271e-06,1
306,6.6165863566763325e-06,1.2811640907445192e-06,3.015973643323668e-06,1
307,5.085979254842686e-06,1.2811640907445192e-06,1.6113607451573132e-06,0
308,5.086541806081099e-06,1.2811640907445192e-06,5.980481939189018e-07,0
309,4.995520379749787e-06,1.2811640907445192e-06,3.1222962025021314e-07,0
310,5.3143463591813805e-06,1.2811640907445192e-06,6.525836408186195e-07,0
311,8.571997864023434e-06,1.2811640907445192e-06,1.166262135976566e-06,0
312,2.0173688151407014e-05,1.2811640907445192e-06,1.017411848592987e-06,0
313,4.648025885019887e-05,1.2811640907445192e-06,-9.10258850198874e-07,0
314,8.506892558439513e-05,1.2811640907445192e-06,-5.1880255843951356e-06,0
315,0.00011846256887890432,1.2811640907445192e-06,-1.0425568878904307e-05,0
316,0.00012811640907445192,1.2811640907445192e-06,-1.2899409074451911e-05,1
317,0.00010920543016829468,1.2811640907445192e-06,-9.649730168294685e-06,1
318,7.074590817257085e-05,1.2811640907445192e-06,-3.6099081725708498e-06,0
319,3.215707076635283e-05,1.2811640907445192e-06,-2.536707663528272e-07,0
320,1.8720330995713901e-06,1.2811640907445192e-06,8.797669004286099e-07,1
321,1.6110900020772717e-06,1.2811640907445192e-06,1.0631399979227284e-06,0
322,8.21661121490098e-07,1.2811640907445192e-06,8.030388785099021e-07,0
323,2.988886186991546e-07,1.2811640907445192e-06,4.483643813008454e-07,0
324,1.0035636074994672e-07,1.2811640907445192e-06,2.040926392500533e-07,0
325,4.1777439496179217e-08,1.2811640907445192e-06,9.184056050382078e-08,0
326,5.018885960688853e-08,1.2811640907445192e-06,5.990614039311147e-08,0
327,2.521061473278183e-07,1.2811640907445192e-06,5.244685267218167e-08,0
328,1.510959221279223e-06,1.2811640907445192e-06,-1.0192212792229536e-09,0
329,7.099726554580745e-06,1.2811640907445192e-06,-3.1111655458074357e-07,0
330,2.3524396291220455e-05,1.2811640907445192e-06,-1.1630962912204523e-06,0
331,5.3747735591531127e-05,1.2811640907445192e-06,-2.8296355915311236e-06,0
332,8.579719931889141e-05,1.2811640907445192e-06,-5.042399318891413e-06,0
333,9.767519836412112e-05,1.2811640907445192e-06,-5.519698364121129e-06,0
334,8.009446235150239e-05,1.2811640907445192e-06,-2.916562351502384e-06,0
335,4.709144690243588e-05,1.2811640907445192e-06,5.455530975641162e-07,0
336,1.9919823449057964e-05,1.2811640907445192e-06,2.5090765509420337e-06,0
337,6.7455166397168e-06,1.2811640907445192e-06,2.5525133602832003e-06,1
338,2.8245639015089167e-06,1.2811640907445192e-06,1.7052960984910835e-06,1
339,2.122450907544862e-06,1.2811640907445192e-06,9.308990924551378e-07,0
340,2.0061183759673324e-06,1.2811640907445192e-06,5.256716240326678e-07,0
341,2.02051570253775e-06,1.2811640907445192e-06,4.781242974622501e-07,0
342,2.800970979906604e-06,1.2811640907445192e-06,7.351990200933956e-07,0
343,6.755108880553901e-06,1.2811640907445192e-06,1.1361911194460991e-06,0
344,1.9426846386817044e-05,1.2811640907445192e-06,1.2710536131829563e-06,0
345,4.628407328433567e-05,1.2811640907445192e-06,6.312267156643233e-07,0
346,8.302333126012337e-05,1.2811640907445192e-06,-1.969631260123378e-06,0
347,0.00011275079980064751,1.2811640907445192e-06,-6.822799800647515e-06,0
348,0.00011801506490976704,1.2811640907445192e-06,-9.268064909767035e-06,0
349,9.405337383090704e-05,1.2811640907445192e-06,-5.5484738309070415e-06,0
350,5.443487871994712e-05,1.2811640907445192e-06,-5.798787199471232e-07,0
351,2.1454228648930944e-05,1.2811640907445192e-06,8.199713510690575e-07,0
352,4.428597512226266e-07,1.2811640907445192e-06,4.479472487773733e-07,0
353,3.168076833845697e-07,1.2811640907445192e-06,4.806963166154303e-07,0
